Rank,Release Group,Worldwide,Domestic,%,Foreign,%,
399,The Turin Horse,$162088,$56391,34.8%,$105697,65.2%,
400,Road to Nowhere,$161619,$40294,24.9%,$121325,75.1%,
401,Eames: The Architect & The Painter,$159715,$153088,95.9%,$6627,4.1%,
402,Chasing Madoff,$157612,$157612,100%,-,-,
403,Magic Trip: Ken Kesey's Search for a Kool Place,$155005,$154521,99.7%,$484,0.3%,
404,Revenge of the Electric Car,$151272,$150886,99.7%,$386,0.3%,
405,Nobody Else But You,$150173,$43040,28.7%,$107133,71.3%,
406,Gun Hill Road,$148994,$148994,100%,-,-,
407,Cold Weather,$144056,$141358,98.1%,$2698,1.9%,
408,Thunder Soul,$143986,$143986,100%,-,-,
409,Dirty Girl,$143485,$55125,38.4%,$88360,61.6%,
410,Metropolis Giorgio Moroder Presents,$140907,$27362,19.4%,$113545,80.6%,
411,Beautiful Boy,$140123,$77247,55.1%,$62876,44.9%,
412,I Will Follow,$135809,$135809,100%,-,-,
413,Tonight You're Mine,$132787,$6255,4.7%,$126532,95.3%,
414,The Fairy,$129818,$38399,29.6%,$91419,70.4%,
415,Steve Jobs: The Lost Interview,$127541,$105710,82.9%,$21831,17.1%,
416,Vidal Sassoon: The Movie,$124532,$85974,69%,$38558,31%,
417,Puncture,$123700,$68945,55.7%,$54755,44.3%,
418,Sigur Rós: Inni,$123482,$123482,100%,-,-,
419,The Last Mountain,$122961,$122961,100%,-,-,
420,Michael,$121034,$15715,13%,$105319,87%,
421,Blank City,$119929,$116037,96.8%,$3892,3.2%,
422,The Decoy Bride,$117754,$759,0.6%,$116995,99.4%,
423,The Undefeated,$116381,$116381,100%,-,-,
424,Headshot,$115511,$1373,1.2%,$114138,98.8%,
425,35 and Ticking,$113794,$113794,100%,-,-,
426,In the Family,$101934,$101934,100%,-,-,
427,Rubber,$101729,$100370,98.7%,$1359,1.3%,
428,The Man Who Fell to Earth,$100468,$100072,99.6%,$396,0.4%,
429,Rejoice and Shout,$100237,$100237,100%,-,-,
430,A Little Help,$96868,$96868,100%,-,-,
431,My Reincarnation,$96115,$92822,96.6%,$3293,3.4%,
432,American: The Bill Hicks Story,$92234,$92234,100%,-,-,
433,Evil Bong 3: The Wrath of Bong,$91260,$91260,100%,-,-,
434,Salvation Boulevard,$89182,$28468,31.9%,$60714,68.1%,
435,Exporting Raymond,$87727,$87727,100%,-,-,
436,Crazy Wisdom: The Life & Times of Chogyam Trungpa Rinpoche,$86202,$86202,100%,-,-,
437,Rapt 2011 Re-release,$86028,$45759,53.2%,$40269,46.8%,
438,Wretches & Jabberers,$84610,$84610,100%,-,-,
439,The Look,$83137,$19988,24%,$63149,76%,
440,The Whale,$81881,$81881,100%,-,-,
441,Inkubus,$81600,$81600,100%,-,-,
442,Always Kabhi Kabhi,$80546,$21381,26.5%,$59165,73.5%,
443,Circo,$77466,$77466,100%,-,-,
444,To Catch a Dollar: Muhammad Yunus Banks on America,$77142,$77142,100%,-,-,
445,The Green Wave,$72152,-,-,$72152,100%,
446,Fireflies in the Garden 2011 Re-release,$70600,$70600,100%,-,-,
447,Battle of the Brides,$64572,$64572,100%,-,-,
448,Public Speaking,$62173,$62173,100%,-,-,
449,Trigun: Badlands Rumble 2011 Re-release,$62027,$62027,100%,-,-,
450,If a Tree Falls: A Story of the Earth Liberation Front,$61794,$61794,100%,-,-,
451,Love U... Mr. Kalakaar!,$60956,$48557,79.7%,$12399,20.3%,
452,How to Live Forever,$60630,$60630,100%,-,-,
453,Limelight,$60335,$60335,100%,-,-,
454,Crime After Crime,$60291,$60291,100%,-,-,
455,Putty Hill,$58585,$49918,85.2%,$8667,14.8%,
456,Battleship Potemkin,$57620,$51198,88.9%,$6422,11.1%,
457,My Joy,$56857,$6298,11.1%,$50559,88.9%,
458,Farmageddon,$56573,$56573,100%,-,-,
459,Muran,$56493,$30116,53.3%,$26377,46.7%,
460,Finding Joe,$55518,$55518,100%,-,-,
461,Into Eternity,$55366,$55366,100%,-,-,
462,Snowmen,$54805,$54805,100%,-,-,
463,The Heir Apparent: Largo Winch 2011 Re-release,$53793,$10352,19.2%,$43441,80.8%,
464,The Other F Word,$53714,$53714,100%,-,-,
465,!Women Art Revolution,$52681,$52681,100%,-,-,
466,An Invisible Sign,$51138,$1279,2.5%,$49859,97.5%,
467,Orgasm Inc.,$49001,$49001,100%,-,-,
468,Lebanon Pa.,$48381,$48381,100%,-,-,
469,Ceremony,$48174,$22270,46.2%,$25904,53.8%,
470,Alabama Moon,$47305,$47305,100%,-,-,
471,Went the Day Well?,$47214,$47214,100%,-,-,
472,Diary of a Country Priest,$47000,$47000,100%,-,-,
473,Connected: An Autoblogography About Love Death & Technology,$46782,$46782,100%,-,-,
474,The Woodmans,$46623,$46623,100%,-,-,
475,Every Day,$46029,$46029,100%,-,-,
476,CornerStore,$45176,$45176,100%,-,-,
477,The Bride Wore Black,$44566,$44566,100%,-,-,
478,Granito,$43942,$43942,100%,-,-,
479,Summer 2011 Re-release,$43839,$43839,100%,-,-,
480,Bereavement,$43712,$43712,100%,-,-,
481,Love Etc.,$43593,$43593,100%,-,-,
482,3 Backyards,$43073,$43073,100%,-,-,
483,Down for Life,$41914,$41914,100%,-,-,
484,The Myth of the American Sleepover,$41045,$41045,100%,-,-,
485,Hell and Back Again,$40949,$40634,99.2%,$315,0.8%,
486,Addiction Incorporated,$40106,$40106,100%,-,-,
487,Louder Than a Bomb,$40000,$40000,100%,-,-,
488,Where Soldiers Come From,$39201,$39201,100%,-,-,
489,Paul Goodman Changed My Life,$35671,$35671,100%,-,-,
490,Kinyarwanda,$35412,$35412,100%,-,-,
491,When Harry Tries to Marry,$35100,$35100,100%,-,-,
492,Beautiful Darling,$34096,$34096,100%,-,-,
493,Making the Boys,$33443,$33443,100%,-,-,
494,American Teacher,$33144,$33144,100%,-,-,
495,Meet Monica Velour,$33042,$33042,100%,-,-,
496,Albatross,$32992,-,-,$32992,100%,
497,Aurora,$31720,$5677,17.9%,$26043,82.1%,
498,Hey Boo: Harper Lee and 'To Kill a Mockingbird',$31135,$31135,100%,-,-,
499,Small Town Murder Songs,$31133,$31133,100%,-,-,
500,White Irish Drinkers,$31056,$31056,100%,-,-,
501,The Chaperone,$30514,-,-,$30514,100%,
502,Cat Run,$30000,$30000,100%,-,-,
503,Evidence of a Haunting,$29904,$29904,100%,-,-,
504,Redemption Road,$29384,$29384,100%,-,-,
505,The Topp Twins: Untouchable Girls 2011 Re-release,$29316,$29316,100%,-,-,
506,Garbo: El espía 2011 Re-release,$28563,$28563,100%,-,-,
507,Clash,$27052,$27052,100%,-,-,
508,The Last Ride,$27000,$27000,100%,-,-,
509,Main Street,$26011,$2560,9.8%,$23451,90.2%,
510,Caesar and Otto's Summer Camp Massacre,$25844,$25844,100%,-,-,
511,Passion Play,$25603,$3669,14.3%,$21934,85.7%,
512,Waiting for Forever,$25517,$25517,100%,-,-,
513,The Worst Movie Ever!,$25206,$25206,100%,-,-,
514,Bonnie & Clyde vs. Dracula,$25027,$25027,100%,-,-,
515,Harvest,$24657,$24657,100%,-,-,
516,Knuckle,$24655,$2647,10.7%,$22008,89.3%,
517,Immigration Tango,$24554,$24554,100%,-,-,
518,After,$24544,$24544,100%,-,-,
519,Ranchero,$24036,$24036,100%,-,-,
520,Shut Up Little Man! An Audio Misadventure,$23901,$23901,100%,-,-,
521,Raw Faith,$23667,$23667,100%,-,-,
522,Lost Bohemia,$23584,$23584,100%,-,-,
523,Incendiary,$22457,$22457,100%,-,-,
524,All's Faire in Love,$22180,$22180,100%,-,-,
525,Four Adventures of Reinette and Mirabelle,$22039,$22039,100%,-,-,
526,Answers to Nothing,$22029,$22029,100%,-,-,
527,Deep Gold 3D,$21868,$12000,54.9%,$9868,45.1%,
528,Monogamy,$21527,$21527,100%,-,-,
529,Resurrect Dead: The Mystery of the Toynbee Tiles,$21242,$21242,100%,-,-,
530,Cameraman: The Life and Work of Jack Cardiff,$20840,$20840,100%,-,-,
531,Skateland,$19411,$19411,100%,-,-,
532,Reuniting the Rubins,$19288,$13569,70.3%,$5719,29.7%,
533,Romeos,$19248,$1081,5.6%,$18167,94.4%,
534,Make Believe,$19085,$19085,100%,-,-,
535,Oka!,$18364,$18364,100%,-,-,
536,Battle for Brooklyn,$18000,$18000,100%,-,-,
537,Cook County,$17977,$17977,100%,-,-,
538,Littlerock,$17309,$17309,100%,-,-,
539,Archie's Final Project,$17282,$17282,100%,-,-,
540,I Melt with You,$16232,$6361,39.2%,$9871,60.8%,
541,Dumbstruck,$15379,$15379,100%,-,-,
542,I'm Not Jesus Mommy,$15005,$15005,100%,-,-,
543,The Tenant,$15003,$15003,100%,-,-,
544,Peep World,$14351,$14351,100%,-,-,
545,Saheb Biwi Aur Gangster,$14231,$14231,100%,-,-,
546,Sympathy for Delicious,$13826,$13826,100%,-,-,
547,Under the Boardwalk: The Monopoly Story,$13080,$13080,100%,-,-,
548,Bloodworth,$12971,$12971,100%,-,-,
549,America the Beautiful 2: The Thin Commandments,$12366,$12366,100%,-,-,
550,Rebirth,$12358,$12358,100%,-,-,
551,Back Door Channels: The Price of Peace,$12139,$12139,100%,-,-,
552,Rid of Me,$11740,$11740,100%,-,-,
553,Elektra Luxx,$11514,$11514,100%,-,-,
554,InSight,$11100,$11100,100%,-,-,
555,The Woman with the 5 Elephants 2011 Re-release,$11026,$11026,100%,-,-,
556,Sarah Palin: You Betcha!,$10935,$10935,100%,-,-,
557,Marriage Italian Style 2011 Re-release,$10600,$10600,100%,-,-,
558,Zero Bridge,$10357,$10357,100%,-,-,
559,Prince of the Himalayas,$10190,$10190,100%,-,-,
560,Miss Minoes 2011 Re-release,$10189,$10189,100%,-,-,
561,A Bird of the Air,$10152,$10152,100%,-,-,
562,Vito Bonafacci,$9570,$9570,100%,-,-,
563,Lucky,$8564,$8564,100%,-,-,
564,London River 2011 Re-release,$7200,$7200,100%,-,-,
565,Good Neighbours,$7072,$7072,100%,-,-,
566,Corman's World: Exploits of a Hollywood Rebel,$7000,$7000,100%,-,-,
567,Janie Jones,$6840,$6840,100%,-,-,
568,El Sicario Room 164,$6123,$6123,100%,-,-,
569,The Family Tree,$6035,$6035,100%,-,-,
570,The Imperialists Are Still Alive!,$5874,$5874,100%,-,-,
571,Empire of Silver 2011 Re-release,$5867,-,-,$5867,100%,
572,Elevate,$5580,$5580,100%,-,-,
573,And They're Off,$5154,$5154,100%,-,-,
574,Tanner Hall,$5073,$5073,100%,-,-,
575,To Die Like a Man,$4955,$4029,81.3%,$926,18.7%,
576,The Catechism Cataclysm,$4373,$4373,100%,-,-,
577,Daylight,$4171,$4171,100%,-,-,
578,Campus Radio,$4000,$4000,100%,-,-,
579,Building Hope,$4000,$4000,100%,-,-,
580,The Harvest/La Cosecha,$3709,$3709,100%,-,-,
581,The Sons of Tennessee Williams,$3242,$3242,100%,-,-,
582,Balls to the Wall,$3140,$3140,100%,-,-,
583,The Weird World of Blowfly,$3062,$3062,100%,-,-,
584,Zokkomon,$3000,$3000,100%,-,-,
585,The Lie,$3000,$3000,100%,-,-,
586,Blood Ties,$2760,$2760,100%,-,-,
587,Restitution,$2664,$2664,100%,-,-,
588,United Red Army 2011 Re-release,$2659,$2659,100%,-,-,
589,The Pool Boys,$2269,$2269,100%,-,-,
590,We Were Here,$1873,-,-,$1873,100%,
591,Now & Later,$1808,$1808,100%,-,-,
592,They're Out of the Business,$1655,$1655,100%,-,-,
593,The Tunnel,$1532,$1532,100%,-,-,
594,Strangers Online,$968,$968,100%,-,-,
595,Abandoned,$832,$832,100%,-,-,
596,Redneck Carnage,$706,$706,100%,-,-,
597,A Good Day to Die,$573,$573,100%,-,-,
