Rank,Release Group,Worldwide,Domestic,%,Foreign,%,
599,Ode to Joy,$22594,$17303,76.6%,$5291,23.4%,
600,The Sound of Silence,$21994,$20013,91%,$1981,9%,
601,Wicked Witches,$21600,$21600,100%,-,-,
602,Round of Your Life,$20941,$20941,100%,-,-,
603,General Magic,$20046,$20046,100%,-,-,
604,The Gospel of Eureka,$20039,$20039,100%,-,-,
605,Scandalous: The True Story of the National Enquirer,$18759,$18759,100%,-,-,
606,Before Stonewall,$18724,$18724,100%,-,-,
607,The Return of Martin Guerre 2019 Re-release,$18603,$18603,100%,-,-,
608,Phoenix Oregon,$18356,$18356,100%,-,-,
609,The Cranes Are Flying,$17923,$17923,100%,-,-,
610,Chained for Life,$17431,$17431,100%,-,-,
611,Joseph Pulitzer: Voice of the People,$16970,$16970,100%,-,-,
612,Virginia Minnesota,$16118,$16118,100%,-,-,
613,Starfish,$15849,$15849,100%,-,-,
614,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,$15712,$15712,100%,-,-,
615,The Competition 2019 Re-release,$15622,$15622,100%,-,-,
616,Stuffed,$15532,$15532,100%,-,-,
617,Between the Lines,$15383,$15383,100%,-,-,
618,Funan,$15152,$15152,100%,-,-,
619,Wrinkles the Clown,$14938,$14938,100%,-,-,
620,ZZ Top: That Little Ol' Band from Texas,$14879,$14879,100%,-,-,
621,My Son 2019 Re-release,$14450,$14450,100%,-,-,
622,Combat Obscura,$14242,$14242,100%,-,-,
623,Screwball,$13967,$13967,100%,-,-,
624,Genesis,$13856,$6784,49%,$7072,51%,
625,This One's for the Ladies,$13688,$13688,100%,-,-,
626,Rapid Response,$13294,$13294,100%,-,-,
627,Off Season,$12544,$12544,100%,-,-,
628,Bricked,$12201,$12201,100%,-,-,
629,Zen for Nothing,$12107,$12107,100%,-,-,
630,Imprisoned,$12050,$12050,100%,-,-,
631,Quartet,$12042,$12042,100%,-,-,
632,Cassandro The Exotico!,$11897,$11897,100%,-,-,
633,In Like Flynn,$11255,$11255,100%,-,-,
634,Made Me Do It,$11151,$11151,100%,-,-,
635,Suburban Birds,$10997,$10997,100%,-,-,
636,If the Dancer Dances,$10912,$10912,100%,-,-,
637,Vision Portraits,$10771,$10771,100%,-,-,
638,When Lambs Become Lions,$10197,$9337,91.6%,$860,8.4%,
639,Olivia,$9934,$9934,100%,-,-,
640,Streetwise,$9904,$9904,100%,-,-,
641,The Spanish Prisoner 2019 Re-release,$9589,$9589,100%,-,-,
642,Fritz Lang's Indian Epic 2019 re-release,$9345,$9345,100%,-,-,
643,A Dark Place,$9212,-,-,$9212,100%,
644,Cracked Up,$9197,$9197,100%,-,-,
645,Frantz Fanon: Black Skin White Mask,$9025,$9025,100%,-,-,
646,The Meanest Man in Texas,$8850,$8850,100%,-,-,
647,That Part Feeling - the Universe of Arvo Part,$8812,$8812,100%,-,-,
648,The Dead Center,$8320,$8320,100%,-,-,
649,Angels Are Made Of Light,$7919,$7919,100%,-,-,
650,This Magnificent Cake!,$7888,$7888,100%,-,-,
651,Ghost Fleet,$7850,$7850,100%,-,-,
652,The Plagiarists,$7768,$7768,100%,-,-,
653,Gregory's Girl,$7710,$7710,100%,-,-,
654,I'll Take Your Dead,$7692,$7692,100%,-,-,
655,Beloved Beast,$7301,$7301,100%,-,-,
656,Dying to Survive 2019 Re-release,$6752,$6752,100%,-,-,
657,Under the Eiffel Tower,$6291,$6291,100%,-,-,
658,Relaxer,$6133,$6133,100%,-,-,
659,Série noire,$5633,$5633,100%,-,-,
660,The Miracle of the Little Prince,$5553,$5553,100%,-,-,
661,Chokehold,$5200,$5200,100%,-,-,
